saccade id,start timestamp [ns],end timestamp [ns],duration [ms],amplitude [px],amplitude [deg],mean velocity [px/s],peak velocity [px/s]
642,1734347077849085455,1734347078061084455,212,239.1208166239754,17.749720233807007,3744.162254952612,9471.489936442496
643,1734347079085063455,1734347079333061455,248,31.82169130837122,2.3903928635969707,3620.942524218426,8978.768936517987
644,1734347080817146455,1734347081001490455,184,166.6076185003886,12.354407829806911,3212.1465466990903,7940.767122019206
645,1734347081801113455,1734347081833044455,32,50.60049798932912,3.776503074001116,1726.9476576246416,2175.0034182031063
646,1734347082317349455,1734347082349197455,32,42.63008906559183,3.2298571993918324,1570.126148325294,1988.53264974238
647,1734347082973131455,1734347083041069455,68,247.59322041050945,18.367487237337816,3935.676109869903,5658.443857171474
648,1734347083525063455,1734347083569118455,44,132.39862324361948,9.848547497613689,3082.465605089631,4698.522157096054
649,1734347084349048455,1734347084773065455,424,25.499302047629783,1.915370454917209,2715.991301609648,6900.583605862071
650,1734347085929090455,1734347085977166455,48,81.28541255078771,6.095506388683194,1858.506056410532,2650.4073829508147
651,1734347086237204455,1734347086285080455,48,107.59722884472252,8.086515079642982,2445.946471886698,3463.548658515472
652,1734347086445067455,1734347086469118455,24,24.463541252736043,1.836828905842886,1139.2867862550308,1241.6730593318457
653,1734347086657086455,1734347086797193455,140,181.0822639795014,13.462809029132002,2289.7692970548183,3819.473547447596
654,1734347086965057455,1734347087013064455,48,166.91286596035033,12.401235035259807,3471.5518941270866,5342.568214485719
655,1734347087201161455,1734347087245103455,44,108.38757413409924,8.08357950350585,2511.9439777293087,3747.3837310765343
656,1734347087669136455,1734347087721038455,52,103.65906213476552,7.642784392469902,2128.46848742828,3308.137898314837
657,1734347087989070455,1734347088165102455,176,181.60644951860823,13.521557949968985,3304.7477966671963,7186.133394659489
658,1734347090257068455,1734347090297115455,40,153.1078500708032,11.372032168852254,3664.3249348448094,5179.194039596879
659,1734347090662319455,1734347090713049455,51,104.74936144265156,7.845324102697893,2176.133452799938,3164.3175777443303
660,1734347091253095455,1734347091309124455,56,117.86059957167764,8.73475456403524,2294.745879870336,3436.97398427714
661,1734347091481142455,1734347091505121455,24,24.08311387319769,1.8060021314719803,1062.0073136968083,1228.7051530902338
662,1734347091829049455,1734347091861321455,32,47.71879084231337,3.605140873624642,1771.2377478428843,2230.4776712236803
663,1734347092242080455,1734347092293075455,51,163.61931810957827,12.156909756523271,3418.307165326916,5117.392074505809
664,1734347092957042455,1734347093013041455,56,160.5023672967782,11.923994263914569,3018.714139683731,4723.3824097170045
665,1734347093569044455,1734347093697057455,128,169.4552222500795,12.601961765922114,1824.005461158402,3047.791238778838
666,1734347093869068455,1734347094109184455,240,14.595511074234263,1.073905373138534,2999.3517703613984,6150.966404372412
667,1734347096285095455,1734347096521158455,236,14.56006651559665,1.0949238681864646,2709.90682278792,5713.139540831178
668,1734347096909077455,1734347097161058455,252,56.85599354127876,4.232764228245727,2690.153334353048,7127.34026612058
669,1734347099245081455,1734347099289060455,44,136.6988682717167,10.143185544832985,3158.5892467435865,4772.835622125387
